,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,datetime
83,16,2263,41,135,3,330,72,1,2022-07-12 00:00:00.083
84,16,3024,131,135,3,330,70,0,2022-07-12 00:00:00.084
85,17,2605,200,60,3,330,62,0,2022-07-12 00:00:00.085
86,9,103,128,161,3,331,35,0,2022-07-12 00:00:00.086
87,13,576,252,79,3,331,159,0,2022-07-12 00:00:00.087
88,12,6644,280,79,3,333,112,0,2022-07-12 00:00:00.088
89,17,7294,247,208,3,334,46,0,2022-07-12 00:00:00.089
90,0,3661,48,85,3,335,76,0,2022-07-12 00:00:00.090
91,0,3725,281,85,3,335,75,0,2022-07-12 00:00:00.091
92,0,3804,58,16,3,335,128,0,2022-07-12 00:00:00.092
93,1,674,208,183,3,335,185,1,2022-07-12 00:00:00.093
94,3,728,37,148,3,335,231,0,2022-07-12 00:00:00.094
95,4,463,208,135,3,335,164,1,2022-07-12 00:00:00.095
96,11,6423,76,85,3,335,75,0,2022-07-12 00:00:00.096
97,12,6698,179,214,3,335,74,0,2022-07-12 00:00:00.097
98,16,2865,184,135,3,335,174,0,2022-07-12 00:00:00.098
99,6,7101,42,134,3,336,110,0,2022-07-12 00:00:00.099
100,0,3998,275,16,3,338,68,0,2022-07-12 00:00:00.100
101,0,4196,285,16,3,340,57,0,2022-07-12 00:00:00.101
102,4,214,80,135,3,340,59,1,2022-07-12 00:00:00.102
103,5,2123,35,85,3,340,144,0,2022-07-12 00:00:00.103
104,5,2597,234,16,3,340,109,0,2022-07-12 00:00:00.104
105,5,2626,104,16,3,340,118,0,2022-07-12 00:00:00.105
106,5,684,18,16,3,340,134,0,2022-07-12 00:00:00.106
107,6,5583,52,16,3,340,47,0,2022-07-12 00:00:00.107
108,10,4563,61,159,3,340,100,0,2022-07-12 00:00:00.108
109,16,2616,165,135,3,340,66,1,2022-07-12 00:00:00.109
110,16,3006,38,135,3,340,70,0,2022-07-12 00:00:00.110
111,16,3015,68,135,3,340,59,1,2022-07-12 00:00:00.111
112,16,5970,152,208,3,340,71,0,2022-07-12 00:00:00.112
113,0,3659,12,16,3,345,183,0,2022-07-12 00:00:00.113
114,0,3862,244,177,3,345,119,1,2022-07-12 00:00:00.114
115,0,3949,228,85,3,345,135,1,2022-07-12 00:00:00.115
116,0,4143,109,85,3,345,59,0,2022-07-12 00:00:00.116
117,1,1141,148,183,3,345,190,0,2022-07-12 00:00:00.117
118,1,1297,80,183,3,345,160,0,2022-07-12 00:00:00.118
119,1,2320,80,208,3,345,140,0,2022-07-12 00:00:00.119
120,4,1677,216,135,3,345,219,0,2022-07-12 00:00:00.120
121,4,1727,45,135,3,345,208,0,2022-07-12 00:00:00.121
122,4,240,18,135,3,345,55,0,2022-07-12 00:00:00.122
123,4,278,244,135,3,345,54,0,2022-07-12 00:00:00.123
124,4,633,159,135,3,345,235,0,2022-07-12 00:00:00.124
125,5,1095,204,16,3,345,127,0,2022-07-12 00:00:00.125
126,5,1112,221,16,3,345,131,1,2022-07-12 00:00:00.126
127,5,1506,154,85,3,345,270,0,2022-07-12 00:00:00.127
128,5,1580,253,85,3,345,270,0,2022-07-12 00:00:00.128
129,5,2320,213,16,3,345,113,0,2022-07-12 00:00:00.129
130,5,2481,209,16,3,345,120,0,2022-07-12 00:00:00.130
131,5,2710,80,16,3,345,132,0,2022-07-12 00:00:00.131
132,5,2939,78,16,3,345,120,1,2022-07-12 00:00:00.132
133,6,5142,10,16,3,345,119,0,2022-07-12 00:00:00.133
134,6,5218,273,16,3,345,158,0,2022-07-12 00:00:00.134
135,6,5233,41,16,3,345,97,0,2022-07-12 00:00:00.135
136,6,5362,256,16,3,345,123,1,2022-07-12 00:00:00.136
137,6,5501,287,16,3,345,62,0,2022-07-12 00:00:00.137
138,11,6264,22,71,3,345,133,0,2022-07-12 00:00:00.138
139,11,6549,178,177,3,345,118,0,2022-07-12 00:00:00.139
140,12,6407,100,253,3,345,45,0,2022-07-12 00:00:00.140
141,12,6647,46,79,3,345,107,0,2022-07-12 00:00:00.141
142,12,6925,217,154,3,345,85,0,2022-07-12 00:00:00.142
143,12,6964,232,214,3,345,58,0,2022-07-12 00:00:00.143
144,14,1423,78,60,3,345,85,0,2022-07-12 00:00:00.144
145,16,2919,158,135,3,345,58,0,2022-07-12 00:00:00.145
146,16,5951,48,208,3,345,95,0,2022-07-12 00:00:00.146
147,12,6480,140,292,3,346,34,0,2022-07-12 00:00:00.147
148,12,6843,86,72,3,346,32,0,2022-07-12 00:00:00.148
149,13,756,253,79,3,348,158,0,2022-07-12 00:00:00.149
150,12,3099,205,184,3,349,81,1,2022-07-12 00:00:00.150
151,0,3718,92,85,3,350,65,1,2022-07-12 00:00:00.151
152,3,107,43,148,3,350,83,0,2022-07-12 00:00:00.152
153,5,1248,135,16,3,350,130,1,2022-07-12 00:00:00.153
154,5,1985,76,16,3,350,114,0,2022-07-12 00:00:00.154
155,5,2387,184,16,3,350,129,1,2022-07-12 00:00:00.155
156,5,2405,216,85,3,350,115,0,2022-07-12 00:00:00.156
157,5,734,172,16,3,350,129,0,2022-07-12 00:00:00.157
158,6,5165,11,16,3,350,60,0,2022-07-12 00:00:00.158
159,8,331,216,16,3,350,145,0,2022-07-12 00:00:00.159
160,10,2734,1,80,3,350,50,0,2022-07-12 00:00:00.160
161,10,2796,119,80,3,350,175,0,2022-07-12 00:00:00.161
162,10,3014,100,154,3,350,65,0,2022-07-12 00:00:00.162
163,10,3332,155,80,3,350,70,0,2022-07-12 00:00:00.163
164,10,3632,60,183,3,350,120,1,2022-07-12 00:00:00.164
165,10,3781,162,208,3,350,105,0,2022-07-12 00:00:00.165
166,10,3842,197,208,3,350,95,1,2022-07-12 00:00:00.166
167,10,3892,216,208,3,350,140,0,2022-07-12 00:00:00.167
168,10,4013,157,208,3,350,95,0,2022-07-12 00:00:00.168
169,11,6498,208,16,3,350,128,1,2022-07-12 00:00:00.169
170,11,6629,119,85,3,350,61,0,2022-07-12 00:00:00.170
171,0,4391,171,85,3,351,59,0,2022-07-12 00:00:00.171
172,9,218,128,150,3,352,41,0,2022-07-12 00:00:00.172
173,12,6921,191,253,3,352,38,0,2022-07-12 00:00:00.173
174,0,3935,96,85,3,355,130,1,2022-07-12 00:00:00.174
175,0,3955,155,177,3,355,119,0,2022-07-12 00:00:00.175
176,0,4200,285,71,3,355,64,0,2022-07-12 00:00:00.176
177,0,4274,13,177,3,355,120,0,2022-07-12 00:00:00.177
178,3,735,148,37,3,355,215,0,2022-07-12 00:00:00.178
179,5,377,22,85,3,355,130,0,2022-07-12 00:00:00.179
180,9,202,128,143,3,355,49,0,2022-07-12 00:00:00.180
181,10,2864,254,80,3,355,90,0,2022-07-12 00:00:00.181
182,11,6262,205,85,3,355,137,1,2022-07-12 00:00:00.182
183,11,6414,21,85,3,355,58,0,2022-07-12 00:00:00.183
184,12,7014,232,253,3,355,101,0,2022-07-12 00:00:00.184
185,0,3668,285,159,3,360,131,0,2022-07-12 00:00:00.185
186,0,3724,0,85,3,360,115,0,2022-07-12 00:00:00.186
187,0,3755,272,85,3,360,120,0,2022-07-12 00:00:00.187
188,0,3757,25,85,3,360,103,0,2022-07-12 00:00:00.188
189,0,3795,247,71,3,360,60,1,2022-07-12 00:00:00.189
190,0,3845,20,85,3,360,105,0,2022-07-12 00:00:00.190
191,0,3850,106,85,3,360,48,0,2022-07-12 00:00:00.191
192,0,3871,27,85,3,360,125,0,2022-07-12 00:00:00.192
193,0,3875,121,85,3,360,115,0,2022-07-12 00:00:00.193
194,0,3893,109,16,3,360,115,0,2022-07-12 00:00:00.194
195,0,3923,135,177,3,360,95,0,2022-07-12 00:00:00.195
196,0,3957,17,197,3,360,76,1,2022-07-12 00:00:00.196
197,0,3985,84,177,3,360,100,1,2022-07-12 00:00:00.197
198,0,4008,42,148,3,360,100,0,2022-07-12 00:00:00.198
199,0,4026,209,85,3,360,125,1,2022-07-12 00:00:00.199
200,0,4058,152,85,3,360,50,0,2022-07-12 00:00:00.200
201,0,4239,142,85,3,360,97,1,2022-07-12 00:00:00.201
202,0,4272,87,177,3,360,90,0,2022-07-12 00:00:00.202
203,0,4324,78,148,3,360,82,0,2022-07-12 00:00:00.203
204,1,1056,279,80,3,360,70,0,2022-07-12 00:00:00.204
205,1,1140,244,80,3,360,65,0,2022-07-12 00:00:00.205
206,1,1143,277,80,3,360,170,0,2022-07-12 00:00:00.206
207,1,1215,78,80,3,360,210,0,2022-07-12 00:00:00.207
208,1,1225,65,80,3,360,120,0,2022-07-12 00:00:00.208
209,1,1406,205,80,3,360,125,0,2022-07-12 00:00:00.209
210,1,1584,153,80,3,360,160,0,2022-07-12 00:00:00.210
211,1,1596,214,80,3,360,225,0,2022-07-12 00:00:00.211
212,1,1602,91,80,3,360,100,0,2022-07-12 00:00:00.212
213,1,1615,22,80,3,360,260,0,2022-07-12 00:00:00.213
214,1,1631,198,183,3,360,105,0,2022-07-12 00:00:00.214
215,1,1670,18,208,3,360,165,0,2022-07-12 00:00:00.215
216,1,1755,2,80,3,360,105,0,2022-07-12 00:00:00.216
217,1,1839,204,80,3,360,60,0,2022-07-12 00:00:00.217
218,1,1843,35,208,3,360,175,0,2022-07-12 00:00:00.218
219,1,1878,262,80,3,360,205,0,2022-07-12 00:00:00.219
220,1,1921,96,183,3,360,185,0,2022-07-12 00:00:00.220
221,1,1965,268,80,3,360,115,0,2022-07-12 00:00:00.221
222,1,1994,135,183,3,360,135,0,2022-07-12 00:00:00.222
223,1,2037,33,183,3,360,135,1,2022-07-12 00:00:00.223
224,1,2060,252,208,3,360,245,1,2022-07-12 00:00:00.224
225,1,2103,134,183,3,360,160,0,2022-07-12 00:00:00.225
226,1,2203,159,183,3,360,190,1,2022-07-12 00:00:00.226
227,1,2299,85,183,3,360,190,0,2022-07-12 00:00:00.227
228,1,2301,208,80,3,360,150,1,2022-07-12 00:00:00.228
229,1,445,78,208,3,360,125,0,2022-07-12 00:00:00.229
230,1,526,253,80,3,360,215,0,2022-07-12 00:00:00.230
231,1,528,154,183,3,360,280,1,2022-07-12 00:00:00.231
232,1,548,154,208,3,360,240,0,2022-07-12 00:00:00.232
233,1,552,253,183,3,360,315,1,2022-07-12 00:00:00.233
234,1,654,217,80,3,360,130,0,2022-07-12 00:00:00.234
235,1,708,18,80,3,360,60,0,2022-07-12 00:00:00.235
236,2,454,252,154,3,360,150,0,2022-07-12 00:00:00.236
237,2,55,14,98,3,360,58,0,2022-07-12 00:00:00.237
238,2,600,252,153,3,360,143,0,2022-07-12 00:00:00.238
239,2,62,98,14,3,360,70,0,2022-07-12 00:00:00.239
240,2,81,252,14,3,360,219,0,2022-07-12 00:00:00.240
241,3,1001,35,148,3,360,71,1,2022-07-12 00:00:00.241
242,3,1133,273,148,3,360,85,0,2022-07-12 00:00:00.242
243,3,1224,233,35,3,360,101,1,2022-07-12 00:00:00.243
244,3,155,148,173,3,360,168,0,2022-07-12 00:00:00.244
245,3,162,241,148,3,360,156,0,2022-07-12 00:00:00.245
246,3,1695,35,173,3,360,192,0,2022-07-12 00:00:00.246
247,3,19,42,148,3,360,84,0,2022-07-12 00:00:00.247
248,3,247,202,160,3,360,77,0,2022-07-12 00:00:00.248
249,3,370,104,159,3,360,159,1,2022-07-12 00:00:00.249
250,3,371,159,104,3,360,174,0,2022-07-12 00:00:00.250
251,3,442,277,35,3,360,167,0,2022-07-12 00:00:00.251
252,3,45,238,148,3,360,83,0,2022-07-12 00:00:00.252
253,3,52,173,148,3,360,141,0,2022-07-12 00:00:00.253
254,3,68,104,148,3,360,160,1,2022-07-12 00:00:00.254
255,3,701,148,260,3,360,218,0,2022-07-12 00:00:00.255
256,4,1045,58,135,3,360,190,0,2022-07-12 00:00:00.256
257,4,1428,60,135,3,360,180,0,2022-07-12 00:00:00.257
258,4,1617,172,135,3,360,118,1,2022-07-12 00:00:00.258
259,4,1810,262,135,3,360,220,0,2022-07-12 00:00:00.259
260,4,1815,205,135,3,360,138,1,2022-07-12 00:00:00.260
261,4,308,214,135,3,360,238,0,2022-07-12 00:00:00.261
262,4,469,253,135,3,360,225,1,2022-07-12 00:00:00.262
263,4,759,78,135,3,360,206,0,2022-07-12 00:00:00.263
264,4,89,135,96,3,360,200,0,2022-07-12 00:00:00.264
265,5,1084,14,197,3,360,326,0,2022-07-12 00:00:00.265
266,5,1106,252,261,3,360,120,0,2022-07-12 00:00:00.266
267,5,1157,61,16,3,360,110,0,2022-07-12 00:00:00.267
268,5,1181,241,16,3,360,110,0,2022-07-12 00:00:00.268
269,5,1249,229,16,3,360,192,0,2022-07-12 00:00:00.269
270,5,1297,148,16,3,360,168,0,2022-07-12 00:00:00.270
271,5,1301,139,16,3,360,105,0,2022-07-12 00:00:00.271
272,5,1371,35,159,3,360,68,0,2022-07-12 00:00:00.272
273,5,1401,35,16,3,360,190,0,2022-07-12 00:00:00.273
274,5,1445,78,85,3,360,102,0,2022-07-12 00:00:00.274
275,5,1447,159,16,3,360,167,0,2022-07-12 00:00:00.275
276,5,1504,172,85,3,360,118,0,2022-07-12 00:00:00.276
277,5,1602,153,16,3,360,223,0,2022-07-12 00:00:00.277
278,5,1625,45,16,3,360,120,0,2022-07-12 00:00:00.278
279,5,1767,60,85,3,360,115,0,2022-07-12 00:00:00.279
280,5,1831,214,261,3,360,107,1,2022-07-12 00:00:00.280
281,5,1889,71,16,3,360,103,0,2022-07-12 00:00:00.281
282,5,1949,233,16,3,360,87,0,2022-07-12 00:00:00.282
283,5,2205,175,16,3,360,120,0,2022-07-12 00:00:00.283
284,5,2280,268,16,3,360,110,1,2022-07-12 00:00:00.284
285,5,2437,60,16,3,360,82,1,2022-07-12 00:00:00.285
286,5,2480,252,85,3,360,253,0,2022-07-12 00:00:00.286
287,5,2525,35,197,3,360,210,1,2022-07-12 00:00:00.287
288,5,2530,46,197,3,360,138,0,2022-07-12 00:00:00.288
289,5,2581,251,16,3,360,84,0,2022-07-12 00:00:00.289
290,5,2806,253,197,3,360,222,0,2022-07-12 00:00:00.290
291,5,2816,153,85,3,360,233,0,2022-07-12 00:00:00.291
292,5,725,253,261,3,360,113,0,2022-07-12 00:00:00.292
293,6,4942,147,78,3,360,112,0,2022-07-12 00:00:00.293
294,6,4946,4,16,3,360,50,0,2022-07-12 00:00:00.294
295,6,4979,278,16,3,360,67,0,2022-07-12 00:00:00.295
296,6,4998,290,16,3,360,119,0,2022-07-12 00:00:00.296
297,6,5011,237,85,3,360,98,0,2022-07-12 00:00:00.297
298,6,5027,187,16,3,360,130,0,2022-07-12 00:00:00.298
299,6,5079,169,16,3,360,85,0,2022-07-12 00:00:00.299
300,6,5141,94,16,3,360,80,0,2022-07-12 00:00:00.300
301,6,5169,130,16,3,360,151,0,2022-07-12 00:00:00.301
302,6,5265,273,85,3,360,115,0,2022-07-12 00:00:00.302
303,6,5275,101,16,3,360,86,0,2022-07-12 00:00:00.303
304,6,5313,95,16,3,360,98,0,2022-07-12 00:00:00.304
305,6,5316,70,16,3,360,44,0,2022-07-12 00:00:00.305
306,6,5366,254,16,3,360,119,0,2022-07-12 00:00:00.306
307,6,5374,48,16,3,360,109,1,2022-07-12 00:00:00.307
308,6,5387,116,16,3,360,80,1,2022-07-12 00:00:00.308
309,6,5435,188,16,3,360,98,1,2022-07-12 00:00:00.309
310,6,5460,190,16,3,360,77,1,2022-07-12 00:00:00.310
311,6,5479,158,16,3,360,120,0,2022-07-12 00:00:00.311
312,6,5491,201,16,3,360,98,0,2022-07-12 00:00:00.312
313,6,5507,53,16,3,360,102,0,2022-07-12 00:00:00.313
314,6,5564,138,16,3,360,88,1,2022-07-12 00:00:00.314
315,6,5605,237,16,3,360,86,0,2022-07-12 00:00:00.315
316,6,7070,237,208,3,360,116,0,2022-07-12 00:00:00.316
317,6,7075,85,134,3,360,90,1,2022-07-12 00:00:00.317
318,6,7086,76,134,3,360,90,0,2022-07-12 00:00:00.318
319,6,7097,61,208,3,360,82,0,2022-07-12 00:00:00.319
320,6,7100,47,208,3,360,128,1,2022-07-12 00:00:00.320
321,6,7116,148,134,3,360,81,0,2022-07-12 00:00:00.321
322,6,7323,32,16,3,360,115,0,2022-07-12 00:00:00.322
323,6,7378,79,71,3,360,158,0,2022-07-12 00:00:00.323
324,7,225,175,79,3,360,157,1,2022-07-12 00:00:00.324
325,7,377,35,184,3,360,165,1,2022-07-12 00:00:00.325
326,8,143,85,16,3,360,125,0,2022-07-12 00:00:00.326
327,8,155,139,45,3,360,105,0,2022-07-12 00:00:00.327
328,8,183,78,16,3,360,123,0,2022-07-12 00:00:00.328
329,8,200,48,16,3,360,120,0,2022-07-12 00:00:00.329
330,8,254,106,16,3,360,134,0,2022-07-12 00:00:00.330
331,8,281,35,16,3,360,180,0,2022-07-12 00:00:00.331
332,8,359,159,16,3,360,161,0,2022-07-12 00:00:00.332
333,8,429,223,16,3,360,69,0,2022-07-12 00:00:00.333
334,8,557,43,16,3,360,135,0,2022-07-12 00:00:00.334
335,8,630,76,45,3,360,93,0,2022-07-12 00:00:00.335
336,8,726,80,184,3,360,135,0,2022-07-12 00:00:00.336
337,8,738,197,184,3,360,70,0,2022-07-12 00:00:00.337
338,8,84,104,16,3,360,113,0,2022-07-12 00:00:00.338
339,8,901,215,16,3,360,123,0,2022-07-12 00:00:00.339
340,8,912,184,45,3,360,120,1,2022-07-12 00:00:00.340
341,8,942,238,45,3,360,83,0,2022-07-12 00:00:00.341
342,8,967,7,16,3,360,135,1,2022-07-12 00:00:00.342
343,10,2731,71,80,3,360,165,0,2022-07-12 00:00:00.343
344,10,2750,146,80,3,360,100,1,2022-07-12 00:00:00.344
345,10,2963,56,80,3,360,140,0,2022-07-12 00:00:00.345
346,10,3256,118,80,3,360,50,0,2022-07-12 00:00:00.346
347,10,3265,129,80,3,360,70,0,2022-07-12 00:00:00.347
348,10,3280,68,80,3,360,80,0,2022-07-12 00:00:00.348
349,10,3325,84,80,3,360,130,0,2022-07-12 00:00:00.349
350,10,3357,190,80,3,360,115,0,2022-07-12 00:00:00.350
351,10,3372,41,80,3,360,90,0,2022-07-12 00:00:00.351
352,10,3450,290,80,3,360,70,0,2022-07-12 00:00:00.352
353,10,3512,184,80,3,360,165,0,2022-07-12 00:00:00.353
354,10,3650,285,183,3,360,135,0,2022-07-12 00:00:00.354
355,10,3736,208,96,3,360,120,1,2022-07-12 00:00:00.355
356,10,3748,208,197,3,360,85,0,2022-07-12 00:00:00.356
357,10,3768,96,208,3,360,165,0,2022-07-12 00:00:00.357
358,10,3807,208,16,3,360,120,1,2022-07-12 00:00:00.358
359,10,3853,16,208,3,360,115,0,2022-07-12 00:00:00.359
360,10,3884,58,208,3,360,85,0,2022-07-12 00:00:00.360
361,10,3908,69,208,3,360,105,0,2022-07-12 00:00:00.361
362,10,3914,136,208,3,360,105,0,2022-07-12 00:00:00.362
363,10,3939,33,208,3,360,105,0,2022-07-12 00:00:00.363
364,10,4067,234,208,3,360,140,0,2022-07-12 00:00:00.364
365,10,4114,221,208,3,360,105,1,2022-07-12 00:00:00.365
366,10,4176,61,208,3,360,80,0,2022-07-12 00:00:00.366
367,10,4223,238,208,3,360,125,0,2022-07-12 00:00:00.367
368,10,4260,45,208,3,360,140,0,2022-07-12 00:00:00.368
369,10,4275,195,208,3,360,55,0,2022-07-12 00:00:00.369
370,10,4382,35,148,3,360,79,0,2022-07-12 00:00:00.370
371,10,4420,35,159,3,360,80,0,2022-07-12 00:00:00.371
372,10,4448,78,148,3,360,70,0,2022-07-12 00:00:00.372
373,10,4581,60,159,3,360,110,1,2022-07-12 00:00:00.373
374,10,4625,159,233,3,360,100,0,2022-07-12 00:00:00.374
375,10,4629,233,159,3,360,95,0,2022-07-12 00:00:00.375
376,10,4650,159,16,3,360,150,0,2022-07-12 00:00:00.376
377,10,4697,85,159,3,360,100,0,2022-07-12 00:00:00.377
378,11,6341,234,85,3,360,125,0,2022-07-12 00:00:00.378
379,11,6357,22,78,3,360,84,0,2022-07-12 00:00:00.379
380,11,6379,35,148,3,360,88,0,2022-07-12 00:00:00.380
381,11,6401,133,71,3,360,53,0,2022-07-12 00:00:00.381
382,11,6560,208,148,3,360,133,0,2022-07-12 00:00:00.382
383,11,6655,205,177,3,360,114,0,2022-07-12 00:00:00.383
384,11,6668,54,159,3,360,118,0,2022-07-12 00:00:00.384
385,12,4611,244,261,3,360,175,0,2022-07-12 00:00:00.385
386,12,4662,2,261,3,360,101,0,2022-07-12 00:00:00.386
387,12,4676,33,197,3,360,144,0,2022-07-12 00:00:00.387
388,12,4765,153,154,3,360,75,0,2022-07-12 00:00:00.388
389,12,4802,80,261,3,360,168,1,2022-07-12 00:00:00.389
390,12,4888,65,197,3,360,135,1,2022-07-12 00:00:00.390
391,12,6245,179,253,3,360,81,0,2022-07-12 00:00:00.391
392,12,6285,179,79,3,360,155,1,2022-07-12 00:00:00.392
393,12,6300,100,154,3,360,59,0,2022-07-12 00:00:00.393
394,12,6330,207,253,3,360,85,0,2022-07-12 00:00:00.394
395,12,6345,224,253,3,360,125,0,2022-07-12 00:00:00.395
396,12,6359,34,253,3,360,112,1,2022-07-12 00:00:00.396
397,12,6399,208,172,3,360,88,1,2022-07-12 00:00:00.397
398,12,6405,214,253,3,360,105,0,2022-07-12 00:00:00.398
399,12,6434,248,154,3,360,62,0,2022-07-12 00:00:00.399
400,12,6471,2,154,3,360,121,0,2022-07-12 00:00:00.400
401,12,6506,91,154,3,360,137,0,2022-07-12 00:00:00.401
402,12,6512,57,154,3,360,40,1,2022-07-12 00:00:00.402
403,12,6586,227,79,3,360,131,0,2022-07-12 00:00:00.403
404,12,6612,261,79,3,360,93,0,2022-07-12 00:00:00.404
405,12,6682,246,79,3,360,142,0,2022-07-12 00:00:00.405
406,12,6684,177,208,3,360,110,0,2022-07-12 00:00:00.406
407,12,6732,194,79,3,360,146,0,2022-07-12 00:00:00.407
408,12,6743,17,208,3,360,55,0,2022-07-12 00:00:00.408
409,12,6766,111,253,3,360,136,1,2022-07-12 00:00:00.409
410,12,6820,231,253,3,360,78,0,2022-07-12 00:00:00.410
